  
       XFOIL         Version 6.99
  
 Calculated polar for: pcop                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  18.500   1.2159   0.12633   0.11977  -0.1110   0.1746   0.3240
  18.750   1.2311   0.12790   0.12139  -0.1127   0.1731   0.3354
  19.000   1.2392   0.13015   0.12368  -0.1142   0.1713   0.3421
  19.500   1.2607   0.13477   0.12862  -0.1185   0.1673   0.4258
  19.750   1.2709   0.13664   0.13052  -0.1199   0.1658   0.4302
  20.000   1.2800   0.13864   0.13257  -0.1214   0.1643   0.4354
  20.250   1.2863   0.14091   0.13486  -0.1228   0.1625   0.4396
  20.500   1.2910   0.14330   0.13728  -0.1243   0.1609   0.4435
  20.750   1.2933   0.14593   0.13992  -0.1257   0.1592   0.4456
  21.000   1.2944   0.14866   0.14266  -0.1271   0.1572   0.4475
  21.250   1.3018   0.15069   0.14468  -0.1287   0.1553   0.4484
  21.500   1.3108   0.15255   0.14656  -0.1302   0.1545   0.4497
  21.750   1.3205   0.15434   0.14839  -0.1318   0.1542   0.4503
  22.000   1.3300   0.15617   0.15027  -0.1335   0.1539   0.4527
  22.250   1.3377   0.15820   0.15235  -0.1352   0.1535   0.4551
  22.500   1.3465   0.16009   0.15430  -0.1369   0.1530   0.4578
  22.750   1.3533   0.16217   0.15644  -0.1386   0.1526   0.4595
  23.000   1.3604   0.16421   0.15854  -0.1404   0.1520   0.4622
  23.250   1.3682   0.16616   0.16054  -0.1421   0.1515   0.4634
  23.500   1.3736   0.16836   0.16279  -0.1439   0.1510   0.4657
  23.750   1.3787   0.17056   0.16505  -0.1457   0.1505   0.4663
  24.000   1.3819   0.17298   0.16752  -0.1476   0.1500   0.4680
  24.250   1.3842   0.17548   0.17008  -0.1495   0.1494   0.4704
  25.000   1.3782   0.18444   0.17923  -0.1555   0.1466   0.4786
  25.250   1.3700   0.18812   0.18298  -0.1577   0.1458   0.4805
  25.500   1.3570   0.19233   0.18727  -0.1600   0.1446   0.4834
  25.750   1.3390   0.19713   0.19217  -0.1624   0.1436   0.4843
  26.000   1.3368   0.20012   0.19522  -0.1646   0.1426   0.4869
